timestamp,rr
1622960051090,642,183241
1622960051427,635,183883
1622960052416,631,184518
1622960053047,631,185149
1622960053902,630,185780
1622960054416,620,186410
1622960055036,631,187030
1622960055382,646,187661
1622960056387,658,188307
1622960057045,667,188965
1622960057371,671,189632
1622960058357,680,190303
1622960059037,683,190983
1622960059342,672,191666
1622960060347,674,192338
1622960061021,657,193012
1622960061320,644,193669
1622960061964,638,194313
1622960062314,629,194951
1622960063309,626,195580
1622960063935,620,196206
1622960064294,624,196826
1622960065285,637,197450
1622960065922,645,198087
1622960066277,663,198732
1622960067261,677,199395
1622960067938,681,200072
1622960068266,680,200753
1622960069246,667,201433
1622960069913,652,202100
1622960070232,648,202752
1622960070880,634,203400
1622960071230,619,204034
1622960073210,611,204653
1622960073821,607,205264
1622960073313,605,205871
1622960074212,606,206476
1622960074818,622,207082
1622960075188,628,207704
1622960075816,625,208332
1622960076187,634,208957
1622960077171,646,209591
1622960077817,660,210237
1622960078171,653,210897
1622960079141,649,211550
1622960079790,646,212199
1622960080151,638,212845
1622960081133,637,213483
1622960081770,629,214120
1622960082118,624,214749
1622960083105,628,215373
1622960083733,629,216001
1622960084091,636,216630
1622960084727,646,217266
1622960085109,644,217912
1622960086069,653,218556
1622960086722,650,219209
1622960087071,646,219859
1622960088054,646,220505
1622960088700,639,221151
1622960089042,644,221790
1622960090039,646,222434
1622960090685,645,223080
1622960091020,653,223725
1622960092011,650,224378
1622960092661,649,225028
1622960093002,652,225677
1622960093654,648,226329
1622960094492,649,226977
1622960095480,657,227626
1622960096137,649,228283
1622960096471,658,228932
1622960097471,660,229590
1622960098131,661,230250
1622960098450,660,230911
1622960099449,654,231571
1622960100103,651,232225
1622960100426,659,232876
1622960101424,659,233535
1622960102083,658,234194
1622960102411,651,234852
1622960103413,639,235503
1622960104052,643,236142
1622960105388,649,236785
1622960105451,646,237434
1622960106097,645,238080
1622960106371,651,238725
1622960107358,654,239376
1622960108012,657,240030
1622960108355,659,240687
1622960109335,661,241346
1622960109996,656,242007
1622960110352,654,242663
1622960111006,650,243317
1622960111314,644,243967
1622960112304,646,244611
1622960112950,646,245257
1622960113297,642,245903
1622960114291,646,246545
1622960114937,650,247191
1622960115273,646,247841
1622960116265,647,248487
1622960116912,652,249134
1622960117257,660,249786
1622960118249,658,250446
1622960118907,654,251104
1622960119236,663,251758
1622960120227,664,252421
1622960120891,663,253085
1622960121215,658,253748
1622960123203,655,254406
1622960123858,662,255061
1622960123232,664,255723
